Sample	 
Comments	 
Filename	G:\ceshi\20230223\wangjun410-03.22\cnt-fe3o4_Theta_2-Theta.raw

Goniometer	MiniFlex 300/600
Attachment	Air-sensitive Sample Holder
Monochromater	None

X	0
Y	0
Z	0
10	600
10.02	600
10.04	450
10.06	525
10.08	675
10.1	225
10.12	525
10.14	525
10.16	300
10.18	450
10.2	150
10.22	300
10.24	450
10.26	300
10.28	600
10.3	675
10.32	600
10.34	750
10.36	525
10.38	300
10.4	225
10.42	375
10.44	600
10.46	150
10.48	225
10.5	600
10.52	975
10.54	675
10.56	600
10.58	225
10.6	225
10.62	225
10.64	300
10.66	750
10.68	75
10.7	300
10.72	300
10.74	525
10.76	375
10.78	525
10.8	450
10.82	375
10.84	225
10.86	225
10.88	225
10.9	150
10.92	300
10.94	375
10.96	600
10.98	525
11	975
11.02	525
11.04	300
11.06	450
11.08	450
11.1	375
11.12	150
11.14	750
11.16	450
11.18	600
11.2	300
11.22	525
11.24	225
11.26	300
11.28	375
11.3	450
11.32	525
11.34	525
11.36	375
11.38	225
11.4	375
11.42	450
11.44	675
11.46	675
11.48	450
11.5	600
11.52	750
11.54	450
11.56	450
11.58	450
11.6	600
11.62	675
11.64	525
11.66	525
11.68	375
11.7	750
11.72	450
11.74	675
11.76	375
11.78	300
11.8	225
11.82	450
11.84	525
11.86	600
11.88	450
11.9	375
11.92	300
11.94	600
11.96	150
11.98	525
12	750
12.02	300
12.04	525
12.06	600
12.08	450
12.1	300
12.12	300
12.14	450
12.16	525
12.18	375
12.2	375
12.22	525
12.24	300
12.26	300
12.28	600
12.3	825
12.32	525
12.34	450
12.36	675
12.38	375
12.4	525
12.42	225
12.44	300
12.46	525
12.48	600
12.5	300
12.52	375
12.54	150
12.56	825
12.58	675
12.6	375
12.62	225
12.64	225
12.66	375
12.68	525
12.7	225
12.72	450
12.74	675
12.76	300
12.78	225
12.8	225
12.82	525
12.84	675
12.86	675
12.88	675
12.9	525
12.92	300
12.94	150
12.96	450
12.98	525
13	375
13.02	900
13.04	675
13.06	675
13.08	450
13.1	600
13.12	600
13.14	525
13.16	300
13.18	300
13.2	375
13.22	750
13.24	750
13.26	450
13.28	375
13.3	600
13.32	300
13.34	300
13.36	375
13.38	600
13.4	600
13.42	525
13.44	525
13.46	600
13.48	675
13.5	450
13.52	450
13.54	375
13.56	525
13.58	600
13.6	375
13.62	675
13.64	300
13.66	375
13.68	450
13.7	300
13.72	600
13.74	450
13.76	450
13.78	525
13.8	750
13.82	675
13.84	375
13.86	825
13.88	1050
13.9	225
13.92	300
