Sample	 
Comments	 
Filename	G:\ceshi\20230223\wangjun410-03.22\cnt-s_Theta_2-Theta.raw

Goniometer	MiniFlex 300/600
Attachment	Air-sensitive Sample Holder
Monochromater	None

X	0
Y	0
Z	0
10	375
10.02	450
10.04	675
10.06	450
10.08	525
10.1	300
10.12	525
10.14	225
10.16	300
10.18	750
10.2	450
10.22	525
10.24	375
10.26	975
10.28	750
10.3	375
10.32	450
10.34	600
10.36	600
10.38	375
10.4	375
10.42	450
10.44	450
10.46	600
10.48	150
10.5	225
10.52	300
10.54	750
10.56	450
10.58	525
10.6	600
10.62	375
10.64	375
10.66	525
10.68	600
10.7	750
10.72	525
10.74	375
10.76	525
10.78	675
10.8	525
10.82	600
10.84	300
10.86	675
10.88	825
10.9	450
10.92	675
10.94	300
10.96	525
10.98	525
11	525
11.02	300
11.04	300
11.06	525
11.08	450
11.1	450
11.12	750
11.14	750
11.16	375
11.18	1050
11.2	450
11.22	300
11.24	300
11.26	525
11.28	525
11.3	225
11.32	375
11.34	525
11.36	675
11.38	825
11.4	525
11.42	675
11.44	525
11.46	675
11.48	525
11.5	450
11.52	750
11.54	675
11.56	225
11.58	600
11.6	450
11.62	450
11.64	525
11.66	600
11.68	300
11.7	300
11.72	150
11.74	675
11.76	825
11.78	825
11.8	825
11.82	450
11.84	525
11.86	375
11.88	375
11.9	525
11.92	450
11.94	375
11.96	675
11.98	300
12	300
12.02	150
12.04	750
12.06	750
12.08	375
12.1	300
12.12	525
12.14	825
12.16	525
12.18	450
12.2	525
12.22	525
12.24	375
12.26	525
12.28	675
12.3	450
12.32	600
12.34	375
12.36	525
12.38	525
12.4	300
12.42	525
12.44	375
12.46	75
12.48	450
12.5	450
12.52	900
12.54	975
12.56	300
12.58	75
12.6	150
12.62	375
12.64	525
12.66	450
12.68	525
12.7	450
12.72	450
12.74	300
12.76	600
12.78	600
12.8	900
12.82	750
12.84	825
12.86	675
12.88	450
12.9	600
12.92	600
12.94	600
12.96	600
12.98	675
13	825
13.02	375
13.04	300
13.06	750
13.08	600
13.1	375
13.12	525
13.14	450
13.16	375
13.18	450
13.2	525
13.22	675
13.24	750
13.26	600
13.28	975
13.3	900
13.32	825
13.34	375
13.36	675
13.38	525
13.4	450
13.42	750
13.44	750
13.46	675
13.48	750
13.5	600
13.52	375
13.54	375
13.56	600
13.58	525
13.6	750
13.62	450
13.64	600
13.66	675
13.68	750
13.7	450
13.72	975
13.74	450
13.76	675
13.78	825
13.8	375
13.82	750
13.84	300
13.86	150
13.88	375
13.9	375
13.92	750
13.94	675
13.96	675
13.98	225
14	375
14.02	600
14.04	750
14.06	300
14.08	375
14.1	225
14.12	300
14.14	375
14.16	300
14.18	375
14.2	450
14.22	525
14.24	375
14.26	750
14.28	900
14.3	750
14.32	675
14.34	675
14.36	600
14.38	525
14.4	1275
14.42	675
14.44	450
14.46	450
14.48	525
14.5	600
14.52	1200
14.54	525
14.56	675
14.58	750
14.6	450
14.62	225
14.64	900
14.66	900
14.68	750
14.7	600
14.72	750
14.74	1050
14.76	975
14.78	600
14.8	825
14.82	375
14.84	900
14.86	825
14.88	600
14.9	675
14.92	975
14.94	675
14.96	825
14.98	300
15	450
15.02	825
15.04	750
15.06	975
15.08	750
15.1	825
15.12	600
15.14	600
15.16	600
15.18	600
15.2	825
15.22	525
15.24	825
15.26	750
15.28	1125
15.3	825
15.32	900
15.34	1350
15.36	1350
15.38	600
15.4	750
15.42	825
15.44	600
15.46	600
15.48	1125
15.5	1050
15.52	900
15.54	675
15.56	450
15.58	600
15.6	300
15.62	750
15.64	675
15.66	375
15.68	300
15.7	600
15.72	675
15.74	750
15.76	450
15.78	825
15.8	1275
15.82	975
15.84	900
15.86	825
15.88	525
15.9	675
15.92	600
15.94	675
15.96	675
15.98	375
16	150
16.02	525
16.04	900
16.06	600
16.08	450
16.1	750
16.12	750
16.14	675
16.16	900
16.18	750
16.2	1125
16.22	1200
16.24	750
16.26	1650
16.28	825
16.3	675
16.32	525
16.34	300
16.36	975
16.38	600
16.4	300
16.42	300
16.44	525
16.46	450
16.48	600
16.5	675
16.52	750
16.54	750
16.56	375
16.58	1050
16.6	675
16.62	675
16.64	450
16.66	450
16.68	375
16.7	900
16.72	900
16.74	1125
16.76	750
16.78	450
16.8	750
16.82	600
16.84	525
16.86	900
16.88	750
16.9	600
16.92	750
16.94	375
16.96	600
16.98	450
17	975
17.02	525
17.04	675
17.06	750
17.08	750
17.1	975
17.12	900
17.14	825
17.16	750
17.18	825
17.2	900
17.22	825
17.24	825
17.26	675
17.28	975
17.3	750
17.32	750
17.34	300
17.36	675
17.38	825
17.4	750
17.42	825
17.44	750
17.46	825
17.48	750
17.5	600
17.52	1350
17.54	525
17.56	750
17.58	1125
17.6	900
17.62	975
17.64	600
17.66	1500
17.68	750
17.7	900
17.72	1125
17.74	750
17.76	675
17.78	750
17.8	525
17.82	975
17.84	975
17.86	975
17.88	450
17.9	825
17.92	900
17.94	450
17.96	675
17.98	675
18	975
18.02	825
18.04	825
18.06	750
18.08	675
18.1	1050
18.12	1275
18.14	1200
18.16	975
18.18	825
18.2	750
18.22	750
18.24	600
18.26	900
18.28	900
18.3	450
18.32	450
18.34	825
18.36	675
18.38	750
18.4	600
18.42	975
18.44	1050
18.46	900
18.48	1575
18.5	1275
18.52	750
18.54	1050
18.56	600
18.58	825
18.6	1575
18.62	1050
18.64	1125
18.66	750
18.68	675
18.7	675
18.72	600
18.74	1500
18.76	1125
18.78	1050
18.8	675
18.82	675
18.84	900
18.86	1125
18.88	1125
18.9	1350
18.92	600
18.94	900
18.96	450
18.98	675
19	1050
19.02	1425
19.04	900
19.06	900
19.08	825
19.1	1125
19.12	975
19.14	1125
19.16	750
19.18	975
19.2	750
19.22	525
19.24	750
19.26	1050
19.28	975
19.3	1125
19.32	1350
19.34	975
19.36	1500
19.38	1050
19.4	1125
19.42	900
19.44	1275
19.46	1275
19.48	975
19.5	900
19.52	825
19.54	1050
19.56	1275
19.58	825
19.6	1575
19.62	1425
19.64	1275
19.66	975
19.68	1275
19.7	1125
19.72	1500
19.74	1575
19.76	900
19.78	975
19.8	975
19.82	1650
19.84	975
19.86	1725
19.88	1725
19.9	1125
19.92	825
19.94	1200
19.96	900
19.98	1350
20	1275
20.02	1275
20.04	1575
20.06	1875
20.08	2100
20.1	1200
20.12	1350
20.14	1050
20.16	1725
20.18	1575
20.2	1575
20.22	1575
20.24	1425
20.26	1650
20.28	1500
20.3	1500
20.32	1500
20.34	1200
20.36	1200
