Sample	 
Comments	 
Filename	G:\ceshi\20230223\wangjun410-03.22\fe3o4_Theta_2-Theta.raw

Goniometer	MiniFlex 300/600
Attachment	Air-sensitive Sample Holder
Monochromater	None

X	0
Y	0
Z	0
10	150
10.02	375
10.04	750
10.06	450
10.08	600
10.1	300
10.12	150
10.14	450
10.16	975
10.18	450
10.2	450
10.22	825
10.24	375
10.26	600
10.28	600
10.3	300
10.32	300
10.34	600
10.36	375
10.38	300
10.4	300
10.42	150
10.44	600
10.46	300
10.48	300
10.5	375
10.52	525
10.54	375
10.56	600
10.58	375
10.6	450
10.62	375
10.64	600
10.66	450
10.68	375
10.7	225
10.72	150
10.74	375
10.76	525
10.78	300
10.8	900
10.82	450
10.84	75
10.86	225
10.88	450
10.9	750
10.92	750
10.94	375
10.96	900
10.98	675
11	750
11.02	375
11.04	750
11.06	375
11.08	450
11.1	600
11.12	75
11.14	225
11.16	150
11.18	75
11.2	150
11.22	300
11.24	375
11.26	300
11.28	450
11.3	300
11.32	675
11.34	525
11.36	450
11.38	225
11.4	525
11.42	525
11.44	375
11.46	375
11.48	375
11.5	300
11.52	300
11.54	225
11.56	450
11.58	525
11.6	225
11.62	225
11.64	450
11.66	375
11.68	225
11.7	300
11.72	75
11.74	525
11.76	750
11.78	225
11.8	225
11.82	225
11.84	375
11.86	375
11.88	375
11.9	450
11.92	300
11.94	525
11.96	375
11.98	450
12	600
12.02	600
12.04	825
12.06	975
12.08	300
12.1	300
12.12	300
12.14	825
12.16	375
12.18	450
12.2	225
12.22	450
12.24	300
12.26	300
12.28	300
12.3	375
12.32	450
12.34	675
12.36	900
12.38	750
12.4	225
12.42	450
12.44	75
12.46	375
12.48	525
12.5	900
12.52	675
12.54	525
12.56	525
12.58	525
12.6	225
12.62	450
12.64	150
12.66	300
12.68	600
12.7	300
12.72	375
12.74	525
12.76	600
12.78	300
12.8	375
12.82	300
12.84	300
12.86	225
12.88	300
12.9	375
12.92	300
12.94	375
12.96	225
12.98	225
13	225
13.02	600
13.04	525
13.06	225
13.08	0
13.1	300
13.12	525
13.14	375
13.16	150
13.18	150
13.2	375
13.22	450
13.24	600
13.26	600
13.28	150
13.3	225
13.32	225
13.34	900
13.36	450
13.38	525
13.4	375
13.42	675
13.44	600
13.46	525
13.48	600
13.5	750
13.52	750
13.54	975
13.56	750
13.58	525
13.6	375
13.62	375
13.64	300
13.66	375
13.68	375
13.7	600
13.72	525
13.74	450
13.76	450
13.78	375
13.8	600
13.82	300
13.84	600
13.86	750
13.88	450
13.9	900
13.92	525
13.94	525
13.96	300
13.98	525
14	225
14.02	525
14.04	600
14.06	375
14.08	450
14.1	450
14.12	300
14.14	600
14.16	300
14.18	750
14.2	375
14.22	225
14.24	300
14.26	150
14.28	525
14.3	375
14.32	825
14.34	375
14.36	150
14.38	750
14.4	900
14.42	450
14.44	675
14.46	450
14.48	375
14.5	150
14.52	525
14.54	450
14.56	600
14.58	600
14.6	525
14.62	450
14.64	600
14.66	525
14.68	675
14.7	450
14.72	300
14.74	375
14.76	450
14.78	450
14.8	450
14.82	675
14.84	375
14.86	300
14.88	300
14.9	300
14.92	750
14.94	75
14.96	450
14.98	750
15	525
15.02	900
15.04	525
15.06	525
15.08	450
15.1	525
15.12	600
15.14	450
15.16	600
15.18	825
15.2	825
15.22	600
15.24	450
15.26	450
15.28	600
15.3	825
15.32	450
15.34	450
15.36	375
15.38	750
15.4	225
15.42	375
15.44	300
15.46	375
15.48	900
15.5	450
15.52	150
15.54	675
15.56	450
15.58	300
15.6	525
15.62	525
15.64	750
15.66	1125
15.68	525
15.7	825
15.72	825
15.74	375
15.76	375
15.78	300
15.8	675
15.82	525
15.84	525
15.86	375
15.88	375
15.9	750
15.92	675
15.94	150
15.96	225
15.98	225
16	300
16.02	750
16.04	675
16.06	525
16.08	300
16.1	375
16.12	450
16.14	375
16.16	900
16.18	375
16.2	300
16.22	825
16.24	825
16.26	675
16.28	600
16.3	450
16.32	150
16.34	150
16.36	375
16.38	450
16.4	450
16.42	600
16.44	525
16.46	225
16.48	375
16.5	225
16.52	675
16.54	1200
16.56	450
16.58	375
16.6	450
16.62	225
16.64	525
16.66	675
16.68	750
16.7	150
16.72	375
16.74	600
16.76	675
16.78	300
16.8	450
16.82	150
16.84	300
16.86	375
16.88	225
16.9	975
16.92	825
16.94	300
16.96	525
16.98	600
17	675
17.02	750
17.04	600
17.06	525
17.08	450
17.1	525
17.12	675
17.14	450
17.16	525
17.18	600
17.2	450
17.22	600
17.24	1050
17.26	450
17.28	600
17.3	750
17.32	375
17.34	600
17.36	450
17.38	150
17.4	525
17.42	1050
17.44	225
17.46	600
17.48	750
17.5	450
17.52	600
17.54	450
17.56	525
17.58	450
17.6	450
17.62	525
17.64	375
17.66	675
17.68	675
17.7	600
17.72	525
17.74	450
