Sample	 
Comments	 
Filename	G:\ceshi\20230223\wangjun410-03.22\zhuyetan-fe3o4_Theta_2-Theta.raw

Goniometer	MiniFlex 300/600
Attachment	Air-sensitive Sample Holder
Monochromater	None

X	0
Y	0
Z	0
10	450
10.02	300
10.04	375
10.06	525
10.08	600
10.1	600
10.12	975
10.14	675
10.16	600
10.18	300
10.2	150
10.22	375
10.24	450
10.26	600
10.28	450
10.3	300
10.32	525
10.34	450
10.36	300
10.38	600
10.4	600
10.42	600
10.44	375
10.46	600
10.48	600
10.5	750
10.52	450
10.54	450
10.56	300
10.58	600
10.6	450
10.62	675
10.64	750
10.66	675
10.68	825
10.7	525
10.72	525
10.74	300
10.76	600
10.78	375
10.8	450
10.82	450
10.84	975
10.86	450
10.88	300
10.9	75
10.92	375
10.94	525
10.96	450
10.98	525
11	600
11.02	975
11.04	900
11.06	750
11.08	600
11.1	525
11.12	375
11.14	525
11.16	975
11.18	600
11.2	525
11.22	525
11.24	450
11.26	300
11.28	450
11.3	525
11.32	450
11.34	450
11.36	375
11.38	750
11.4	825
11.42	375
11.44	450
11.46	675
11.48	600
11.5	450
11.52	375
11.54	525
11.56	525
11.58	600
11.6	750
11.62	225
11.64	300
11.66	375
11.68	150
11.7	525
11.72	900
11.74	375
11.76	675
11.78	375
11.8	600
11.82	450
11.84	375
11.86	825
11.88	375
11.9	525
11.92	375
11.94	675
11.96	450
11.98	225
12	300
12.02	300
12.04	225
12.06	450
12.08	375
12.1	300
12.12	600
12.14	975
12.16	300
12.18	600
12.2	525
12.22	375
12.24	450
12.26	1050
12.28	750
12.3	600
12.32	450
12.34	375
12.36	225
12.38	525
12.4	525
12.42	450
12.44	375
12.46	375
12.48	450
12.5	375
12.52	300
12.54	300
12.56	375
12.58	375
12.6	300
12.62	450
12.64	525
12.66	450
12.68	300
12.7	375
12.72	750
12.74	150
12.76	300
12.78	675
12.8	150
12.82	300
12.84	525
12.86	150
12.88	450
12.9	225
12.92	375
12.94	750
12.96	450
12.98	750
13	675
13.02	600
13.04	300
13.06	825
13.08	675
13.1	300
13.12	75
13.14	300
13.16	675
13.18	600
13.2	525
13.22	300
13.24	450
13.26	525
13.28	750
13.3	600
13.32	525
13.34	750
13.36	450
13.38	600
13.4	900
13.42	975
13.44	600
13.46	1050
13.48	750
13.5	825
13.52	525
13.54	450
13.56	600
13.58	600
13.6	750
13.62	300
13.64	375
13.66	450
13.68	300
13.7	675
13.72	975
13.74	375
13.76	600
13.78	525
13.8	600
13.82	375
13.84	300
13.86	375
13.88	375
13.9	675
13.92	375
13.94	450
13.96	675
13.98	375
14	525
14.02	300
14.04	525
14.06	525
14.08	450
14.1	600
14.12	900
14.14	150
14.16	900
14.18	600
14.2	750
14.22	450
14.24	150
14.26	150
14.28	525
14.3	750
14.32	525
14.34	675
14.36	675
14.38	750
14.4	975
14.42	450
14.44	375
14.46	450
14.48	450
14.5	600
14.52	825
14.54	300
14.56	525
14.58	900
14.6	825
14.62	300
14.64	525
14.66	300
14.68	300
14.7	600
14.72	525
14.74	525
14.76	675
14.78	450
14.8	825
14.82	600
14.84	825
14.86	450
14.88	450
14.9	375
14.92	375
14.94	450
14.96	750
14.98	450
15	525
15.02	600
15.04	375
15.06	975
15.08	750
15.1	675
15.12	750
15.14	675
15.16	450
15.18	675
15.2	825
15.22	675
15.24	525
15.26	375
15.28	900
15.3	750
15.32	375
15.34	375
15.36	675
15.38	825
15.4	525
15.42	675
15.44	750
15.46	675
15.48	825
15.5	975
15.52	300
15.54	375
15.56	525
15.58	75
15.6	300
15.62	600
15.64	600
15.66	600
15.68	525
15.7	600
15.72	600
15.74	375
15.76	750
15.78	600
15.8	750
15.82	750
15.84	825
15.86	1200
15.88	825
15.9	750
15.92	1275
15.94	750
15.96	600
15.98	675
16	675
16.02	300
16.04	375
16.06	525
16.08	825
16.1	225
16.12	450
16.14	450
16.16	750
16.18	600
16.2	375
16.22	675
16.24	975
16.26	750
16.28	750
16.3	750
16.32	600
16.34	300
16.36	600
16.38	750
16.4	900
16.42	900
16.44	375
16.46	450
16.48	750
16.5	450
16.52	525
16.54	525
16.56	675
16.58	525
16.6	450
16.62	600
16.64	675
16.66	900
16.68	525
16.7	750
16.72	675
16.74	450
16.76	750
16.78	525
16.8	675
16.82	375
16.84	525
16.86	825
16.88	975
16.9	600
16.92	600
16.94	825
16.96	450
16.98	1050
17	975
17.02	900
17.04	525
17.06	675
17.08	450
17.1	525
17.12	600
17.14	825
17.16	600
17.18	675
17.2	900
17.22	375
17.24	600
17.26	225
17.28	600
17.3	825
17.32	975
17.34	750
17.36	375
17.38	675
17.4	525
17.42	450
17.44	375
17.46	525
17.48	750
17.5	750
17.52	450
17.54	600
17.56	600
17.58	825
17.6	375
17.62	300
17.64	750
17.66	750
17.68	825
17.7	450
17.72	600
17.74	375
17.76	450
17.78	600
17.8	450
17.82	900
17.84	1125
17.86	825
17.88	975
17.9	750
17.92	900
17.94	975
17.96	1125
17.98	1425
18	600
18.02	675
18.04	825
18.06	450
18.08	825
18.1	1200
18.12	600
18.14	1125
18.16	750
18.18	825
18.2	1575
18.22	900
18.24	900
18.26	1050
18.28	1575
18.3	1425
18.32	1200
18.34	1425
18.36	1575
18.38	900
18.4	1050
18.42	675
18.44	675
18.46	1350
18.48	1125
18.5	1050
18.52	825
18.54	1050
18.56	675
18.58	450
18.6	1275
18.62	1050
18.64	750
18.66	600
18.68	600
18.7	525
18.72	525
18.74	825
18.76	1125
18.78	900
18.8	675
18.82	825
18.84	900
18.86	825
18.88	525
18.9	750
18.92	825
18.94	450
18.96	675
18.98	1125
19	825
19.02	450
19.04	1050
19.06	975
19.08	750
19.1	1125
19.12	975
19.14	900
19.16	450
19.18	975
19.2	1200
19.22	975
19.24	825
19.26	825
19.28	600
19.3	600
19.32	825
19.34	675
19.36	375
19.38	825
19.4	900
19.42	1275
19.44	1350
19.46	1050
19.48	900
19.5	525
19.52	825
19.54	1200
19.56	1350
19.58	825
19.6	750
19.62	750
19.64	900
19.66	675
19.68	300
19.7	825
19.72	300
19.74	150
19.76	900
19.78	825
19.8	900
19.82	975
19.84	825
19.86	675
19.88	1050
19.9	900
19.92	375
19.94	600
19.96	1275
19.98	675
20	750
20.02	1050
20.04	1125
20.06	975
20.08	825
20.1	750
20.12	825
20.14	675
20.16	600
20.18	1050
20.2	675
20.22	900
20.24	1050
20.26	900
20.28	750
20.3	1050
20.32	900
20.34	900
20.36	1050
20.38	975
20.4	900
20.42	1275
20.44	825
20.46	1050
20.48	1200
20.5	900
20.52	1050
20.54	750
20.56	825
20.58	900
20.6	975
20.62	975
20.64	1350
20.66	1125
20.68	1275
20.7	1275
20.72	825
20.74	975
20.76	1425
20.78	975
20.8	1425
20.82	825
20.84	1200
20.86	1050
20.88	750
20.9	750
20.92	525
20.94	1050
20.96	1125
20.98	750
21	675
21.02	675
21.04	600
21.06	525
21.08	675
21.1	750
21.12	975
21.14	900
21.16	1125
21.18	750
21.2	900
21.22	1275
21.24	1200
21.26	1200
21.28	750
21.3	675
21.32	750
21.34	450
21.36	450
21.38	975
21.4	900
21.42	1200
21.44	900
21.46	825
21.48	1200
21.5	750
21.52	1050
21.54	900
21.56	1500
21.58	1425
21.6	825
21.62	450
21.64	675
21.66	450
21.68	675
21.7	825
21.72	900
21.74	825
21.76	750
21.78	825
21.8	675
21.82	675
21.84	900
21.86	750
21.88	600
21.9	900
21.92	1125
21.94	825
21.96	1275
21.98	1275
22	900
22.02	750
22.04	525
22.06	975
22.08	525
22.1	675
22.12	900
22.14	1050
22.16	675
22.18	375
22.2	750
22.22	1050
22.24	1050
22.26	825
22.28	825
22.3	675
22.32	750
22.34	675
22.36	450
22.38	675
22.4	750
22.42	675
22.44	525
22.46	1050
22.48	750
22.5	1275
22.52	825
22.54	825
22.56	675
22.58	825
22.6	1200
22.62	975
22.64	600
22.66	600
22.68	825
22.7	1050
22.72	975
22.74	450
22.76	525
22.78	600
22.8	600
22.82	975
22.84	525
22.86	900
22.88	975
22.9	1275
22.92	750
22.94	675
22.96	525
22.98	375
23	825
23.02	825
23.04	1125
23.06	1200
23.08	900
23.1	975
23.12	825
23.14	975
23.16	825
23.18	900
23.2	675
23.22	525
23.24	825
23.26	900
23.28	750
23.3	825
23.32	750
23.34	675
23.36	450
23.38	825
23.4	825
23.42	150
23.44	750
23.46	750
23.48	750
23.5	750
23.52	525
23.54	900
23.56	375
23.58	675
23.6	900
23.62	450
23.64	1125
23.66	450
23.68	600
23.7	675
23.72	900
23.74	750
23.76	675
23.78	600
23.8	525
23.82	675
23.84	525
23.86	525
23.88	675
23.9	450
23.92	675
23.94	825
23.96	675
23.98	825
24	825
24.02	525
24.04	300
24.06	1050
24.08	975
24.1	750
24.12	750
24.14	900
24.16	750
24.18	450
24.2	900
24.22	1050
24.24	900
24.26	900
24.28	450
24.3	600
24.32	600
24.34	600
24.36	675
24.38	600
24.4	450
24.42	825
24.44	1050
24.46	375
24.48	525
24.5	375
24.52	675
24.54	600
24.56	975
24.58	600
24.6	900
24.62	675
24.64	825
24.66	675
24.68	450
24.7	675
24.72	750
24.74	1125
24.76	1125
24.78	450
24.8	675
24.82	750
24.84	750
24.86	375
24.88	750
24.9	675
24.92	600
24.94	375
24.96	375
24.98	375
25	300
25.02	375
25.04	525
25.06	450
25.08	375
25.1	450
25.12	375
25.14	525
25.16	750
25.18	450
25.2	375
25.22	675
25.24	750
25.26	450
25.28	450
25.3	525
25.32	375
25.34	600
25.36	675
25.38	900
25.4	600
25.42	225
25.44	225
25.46	375
25.48	1050
25.5	525
25.52	600
25.54	450
25.56	600
25.58	525
25.6	750
25.62	525
25.64	600
25.66	525
25.68	600
25.7	450
25.72	225
25.74	750
25.76	600
25.78	750
25.8	375
25.82	750
25.84	750
25.86	675
25.88	600
25.9	525
25.92	750
25.94	450
25.96	450
25.98	450
26	450
26.02	300
26.04	450
26.06	375
26.08	825
26.1	900
26.12	450
26.14	900
26.16	675
26.18	1125
26.2	1125
26.22	675
26.24	600
26.26	525
26.28	450
26.3	450
26.32	900
26.34	450
26.36	675
26.38	825
26.4	675
26.42	375
26.44	450
26.46	525
26.48	375
26.5	675
26.52	375
26.54	825
26.56	750
26.58	1050
26.6	675
26.62	300
26.64	600
26.66	750
26.68	450
26.7	600
26.72	675
26.74	300
26.76	225
26.78	375
26.8	750
26.82	525
26.84	450
26.86	825
26.88	300
26.9	600
26.92	450
26.94	750
26.96	450
26.98	375
27	375
27.02	975
27.04	525
27.06	300
27.08	450
27.1	525
27.12	375
27.14	525
27.16	525
27.18	450
27.2	525
27.22	450
27.24	675
27.26	675
27.28	675
27.3	900
27.32	300
27.34	300
27.36	375
27.38	600
27.4	600
27.42	825
27.44	600
27.46	300
27.48	225
27.5	300
27.52	300
27.54	750
27.56	600
27.58	300
27.6	225
27.62	450
27.64	675
27.66	600
27.68	525
27.7	300
27.72	975
27.74	525
27.76	450
27.78	450
27.8	750
27.82	750
27.84	750
27.86	450
27.88	300
27.9	525
27.92	375
27.94	525
27.96	900
27.98	1050
28	450
28.02	600
28.04	375
28.06	525
28.08	525
28.1	450
28.12	600
28.14	225
28.16	450
28.18	525
28.2	600
28.22	225
28.24	600
28.26	675
28.28	525
28.3	375
28.32	525
28.34	750
28.36	450
28.38	675
28.4	525
28.42	225
28.44	825
28.46	525
28.48	450
28.5	225
28.52	225
28.54	675
28.56	375
28.58	675
28.6	675
28.62	675
28.64	900
28.66	825
28.68	600
28.7	525
28.72	600
28.74	375
28.76	300
28.78	450
28.8	300
28.82	300
28.84	600
28.86	825
28.88	750
28.9	675
28.92	525
28.94	225
28.96	300
28.98	225
29	600
29.02	525
29.04	300
29.06	675
29.08	675
29.1	825
29.12	375
29.14	1050
29.16	675
29.18	375
29.2	600
29.22	375
29.24	600
29.26	750
29.28	675
29.3	675
29.32	675
29.34	450
29.36	600
29.38	300
29.4	375
29.42	225
29.44	525
29.46	525
29.48	600
29.5	825
29.52	600
29.54	300
29.56	525
29.58	525
29.6	600
29.62	525
29.64	375
29.66	600
29.68	825
29.7	975
29.72	1050
29.74	900
29.76	525
29.78	525
29.8	825
29.82	750
29.84	600
29.86	750
29.88	1125
29.9	675
29.92	1200
29.94	1350
29.96	1125
29.98	1200
30	825
30.02	1425
30.04	2025
30.06	2550
30.08	1875
30.1	2400
30.12	1425
30.14	1200
30.16	1275
30.18	1050
30.2	900
30.22	825
30.24	900
30.26	825
30.28	450
30.3	750
30.32	750
30.34	1125
30.36	975
30.38	675
30.4	300
30.42	600
30.44	675
30.46	525
30.48	600
30.5	450
30.52	675
30.54	600
30.56	450
30.58	375
30.6	675
30.62	600
30.64	675
30.66	525
30.68	600
30.7	675
30.72	300
30.74	450
30.76	600
30.78	675
30.8	675
30.82	975
30.84	525
30.86	525
30.88	450
30.9	600
30.92	1050
30.94	750
30.96	675
30.98	675
31	525
31.02	450
31.04	600
31.06	375
31.08	300
31.1	375
31.12	225
31.14	375
31.16	375
31.18	450
31.2	525
31.22	450
31.24	225
31.26	525
31.28	600
31.3	300
31.32	600
31.34	375
31.36	300
31.38	450
31.4	525
31.42	525
31.44	675
31.46	450
31.48	750
31.5	525
31.52	600
31.54	300
31.56	375
31.58	375
31.6	375
31.62	750
31.64	525
31.66	675
31.68	300
31.7	150
31.72	300
31.74	675
31.76	525
31.78	825
31.8	900
31.82	300
31.84	600
31.86	525
31.88	300
31.9	900
31.92	450
31.94	825
31.96	825
31.98	450
32	375
32.02	375
32.04	300
32.06	375
32.08	450
32.1	375
32.12	375
32.14	300
32.16	675
32.18	75
32.2	600
32.22	750
32.24	525
32.26	225
32.28	225
32.3	150
32.32	525
32.34	375
32.36	225
32.38	375
32.4	375
32.42	450
32.44	450
32.46	600
32.48	675
32.5	225
32.52	675
32.54	525
32.56	450
32.58	225
32.6	375
32.62	75
32.64	675
32.66	975
32.68	525
32.7	525
32.72	150
32.74	300
32.76	525
32.78	300
32.8	150
32.82	300
32.84	675
32.86	375
32.88	375
32.9	450
32.92	825
32.94	375
32.96	150
32.98	150
33	375
33.02	450
33.04	525
33.06	450
33.08	225
33.1	225
33.12	825
33.14	675
33.16	525
33.18	450
33.2	450
33.22	450
33.24	525
33.26	450
33.28	750
33.3	600
33.32	750
33.34	525
33.36	750
33.38	675
33.4	525
33.42	450
33.44	375
33.46	750
33.48	675
33.5	450
33.52	600
33.54	975
33.56	225
33.58	600
33.6	375
33.62	825
33.64	600
33.66	600
33.68	525
33.7	375
33.72	375
33.74	300
33.76	375
33.78	450
33.8	450
33.82	675
33.84	525
33.86	675
33.88	675
33.9	375
33.92	225
33.94	225
33.96	75
33.98	525
34	300
34.02	450
34.04	675
